config,description,seed,l2_relative_error,final_pde_loss,final_bc_loss,runtime_sec,completed_epochs,completed_lbfgs_steps,n_interior,n_boundary,hidden_dim,hidden_layers,lr,lambda_bc,output_dir
base,4h setting without Adam-only runs,0,0.0004882466135114028,6.711449383478258e-06,4.5731605520890983e-07,1833.0924990177155,119795,1191,4096,1024,128,5,0.001,1.0,outputs/poisson_ablation_12h/base/seed_0
base,4h setting without Adam-only runs,1,0.0004088372355961449,1.2862339110744212e-05,3.1752506244011016e-07,1818.344827413559,125285,884,4096,1024,128,5,0.001,1.0,outputs/poisson_ablation_12h/base/seed_1
base,4h setting without Adam-only runs,2,0.0004042033934685321,4.155049930051276e-06,3.3444652314383347e-07,1821.4623436927795,119690,773,4096,1024,128,5,0.001,1.0,outputs/poisson_ablation_12h/base/seed_2
more_points,increase collocation and boundary points,0,0.0005473258727546021,3.949544204199181e-06,5.494701124461375e-07,1834.482931137085,77634,1064,8192,2048,128,5,0.001,1.0,outputs/poisson_ablation_12h/more_points/seed_0
more_points,increase collocation and boundary points,1,0.0004364435005791776,2.9284957337552142e-06,4.495093272365789e-07,1835.0456726551056,77560,1084,8192,2048,128,5,0.001,1.0,outputs/poisson_ablation_12h/more_points/seed_1
more_points,increase collocation and boundary points,2,0.0005096721220447814,4.7701090526881995e-06,4.937132703969612e-07,1834.8591997623444,77617,1076,8192,2048,128,5,0.001,1.0,outputs/poisson_ablation_12h/more_points/seed_2
wider,increase network width,0,0.0005076429799923673,8.351560869213884e-06,4.810407543528156e-07,1868.9006283283234,45495,1377,4096,1024,256,5,0.001,1.0,outputs/poisson_ablation_12h/wider/seed_0
wider,increase network width,1,0.0006121049814821359,5.78425598513986e-06,6.964101984625701e-07,1869.8906366825104,45504,1402,4096,1024,256,5,0.001,1.0,outputs/poisson_ablation_12h/wider/seed_1
wider,increase network width,2,0.0005360478217457428,7.99009291190419e-06,5.842461896501563e-07,1863.1605627536774,45491,1260,4096,1024,256,5,0.001,1.0,outputs/poisson_ablation_12h/wider/seed_2
lower_lr,use a smaller Adam learning rate before L-BFGS,0,0.0004529825015847649,3.587047074734352e-06,4.338792179990028e-07,1820.5257806777954,132403,985,4096,1024,128,5,0.0005,1.0,outputs/poisson_ablation_12h/lower_lr/seed_0
lower_lr,use a smaller Adam learning rate before L-BFGS,1,0.00026972123961177644,3.5251469641450544e-06,1.4558280952857033e-07,1817.8291628360748,119777,859,4096,1024,128,5,0.0005,1.0,outputs/poisson_ablation_12h/lower_lr/seed_1
lower_lr,use a smaller Adam learning rate before L-BFGS,2,0.0002987749985942104,4.5152175963695896e-06,1.6072325021753644e-07,1817.1882498264313,120178,641,4096,1024,128,5,0.0005,1.0,outputs/poisson_ablation_12h/lower_lr/seed_2
