config,description,seed,l2_relative_error,final_pde_loss,final_bc_loss,runtime_sec,completed_epochs,completed_lbfgs_steps,n_interior,n_boundary,hidden_dim,hidden_layers,lr,lambda_bc,output_dir
base,4h setting without Adam-only runs,0,0.0005557656096751429,4.964777733715883e-06,6.195244580968987e-07,1820.7008790969849,134296,984,4096,1024,128,5,0.001,1.0,outputs/poisson_ablation_12h_v2/base/seed_0
base,4h setting without Adam-only runs,1,0.0003831507673246492,4.753372914312953e-06,2.840444586268176e-07,1821.1426525115967,118906,1016,4096,1024,128,5,0.001,1.0,outputs/poisson_ablation_12h_v2/base/seed_1
base,4h setting without Adam-only runs,2,0.00031391175408016593,3.7520873220224074e-06,2.0111387620035687e-07,1819.9573657512665,131702,953,4096,1024,128,5,0.001,1.0,outputs/poisson_ablation_12h_v2/base/seed_2
more_points,increase collocation and boundary points,0,0.0005013082895278484,3.379417844510916e-06,4.854791480555438e-07,1839.01207280159,77571,1203,8192,2048,128,5,0.001,1.0,outputs/poisson_ablation_12h_v2/more_points/seed_0
more_points,increase collocation and boundary points,1,0.0005669878613242548,5.752219887762241e-06,6.70048797264309e-07,1824.5167305469513,76788,764,8192,2048,128,5,0.001,1.0,outputs/poisson_ablation_12h_v2/more_points/seed_1
more_points,increase collocation and boundary points,2,0.0004547221168296943,3.122108682985575e-06,4.3924212595919937e-07,1840.6696305274963,75918,1255,8192,2048,128,5,0.001,1.0,outputs/poisson_ablation_12h_v2/more_points/seed_2
wider,increase network width,0,0.0005261445155800947,3.727550701214156e-06,4.851673217820104e-07,1871.8360126018524,45483,1434,4096,1024,256,5,0.001,1.0,outputs/poisson_ablation_12h_v2/wider/seed_0
wider,increase network width,1,0.0004376001984790498,4.3825287271712596e-06,3.7246327259238075e-07,1880.0538861751556,45484,1607,4096,1024,256,5,0.001,1.0,outputs/poisson_ablation_12h_v2/wider/seed_1
wider,increase network width,2,0.00048437961908026557,4.430588933099441e-06,4.549366290880307e-07,1871.8326535224915,45513,1445,4096,1024,256,5,0.001,1.0,outputs/poisson_ablation_12h_v2/wider/seed_2
lower_lr,use a smaller Adam learning rate before L-BFGS,0,0.0004320551530529615,3.326452040867301e-06,3.79990013310387e-07,1822.9361970424652,118813,1086,4096,1024,128,5,0.0005,1.0,outputs/poisson_ablation_12h_v2/lower_lr/seed_0
lower_lr,use a smaller Adam learning rate before L-BFGS,1,0.00038435585889675094,6.445085019196046e-06,2.576512517547804e-07,1808.972359418869,131237,437,4096,1024,128,5,0.0005,1.0,outputs/poisson_ablation_12h_v2/lower_lr/seed_1
lower_lr,use a smaller Adam learning rate before L-BFGS,2,0.0002599281257043187,4.235869296942121e-06,1.3085820118020555e-07,1815.6730296611786,119791,750,4096,1024,128,5,0.0005,1.0,outputs/poisson_ablation_12h_v2/lower_lr/seed_2
